Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 135
HEX 62 : 4121CED9	41CC49BA	41C8FBE7	
DEC 62 : 10.113000	25.535999	25.122999	
HEX 63 : 41152F1B	41C30A3D	41CCD2F2	
DEC 63 : 9.324000	24.379999	25.603001	
HEX 64 : 40CDA9FC	41C46A7F	41C44FDF	
DEC 64 : 6.427000	24.552000	24.539000	
HEX 65 : 40F8B439	41C90A3D	41C1F1AA	
DEC 65 : 7.772000	25.129999	24.243000	
HEX 66 : 40276C8B	41DE78D5	41EBF1AA	
DEC 66 : 2.616000	27.809000	29.493000	
HEX 67 : 401C1893	41E4645A	41F0EF9E	
DEC 67 : 2.439000	28.549000	30.117001	
HEX 68 : 403C49BA	41D8C8B4	41F0A1CB	
DEC 68 : 2.942000	27.098000	30.079000	
HEX 69 : 40C7C6A8	41CA53F8	41FC999A	
DEC 69 : 6.243000	25.291000	31.575001	
HEX 70 : 40E31AA0	41C92F1B	41F8CCCD	
DEC 70 : 7.097000	25.148001	31.100000	
HEX 71 : 40CA6E98	41D1E76D	41FE3127	
DEC 71 : 6.326000	26.238001	31.774000	
HEX 72 : 40FB4BC7	420722D1	41F05604	
DEC 72 : 7.853000	33.784000	30.042000	
HEX 73 : 40E22D0E	4204CDD3	41EF70A4	
DEC 73 : 7.068000	33.201000	29.930000	
HEX 74 : 40EE5604	420AB22D	41EF5604	
DEC 74 : 7.448000	34.674000	29.917000	
HEX 75 : 4085CAC1	41EF74BC	41D2DD2F	
DEC 75 : 4.181000	29.931999	26.358000	
HEX 76 : 4059A9FC	41F44189	41D2D2F2	
DEC 76 : 3.401000	30.532000	26.353001	
HEX 77 : 409C51EC	41F4AE14	41D1A1CB	
DEC 77 : 4.885000	30.584999	26.204000	
HEX 78 : 4090BC6A	41CC7CEE	41DB2D0E	
DEC 78 : 4.523000	25.561001	27.396999	
HEX 79 : 4077AE14	41CFE148	41D66C8B	
DEC 79 : 3.870000	25.985001	26.802999	
HEX 80 : 40A0AC08	41D2E979	41DD3F7D	
DEC 80 : 5.021000	26.364000	27.656000	
HEX 81 : 4136DD2F	41DE6666	41E25A1D	
DEC 81 : 11.429000	27.799999	28.294001	
HEX 82 : 413E3D71	41E49581	41E5645A	
DEC 82 : 11.890000	28.573000	28.674000	
HEX 83 : 413126E9	41DB1EB8	41E8E560	
DEC 83 : 11.072000	27.389999	29.112000	
HEX 84 : 4009EB85	41FE6042	41D3CED9	
DEC 84 : 2.155000	31.797001	26.476000	
HEX 85 : 4000F5C3	4203051F	41D51893	
DEC 85 : 2.015000	32.755001	26.636999	
HEX 86 : 3FCF3B64	41FB3D71	41D9A3D7	
DEC 86 : 1.619000	31.405001	27.205000	
HEX 87 : 40C6B021	420077CF	41D4E76D	
DEC 87 : 6.209000	32.117001	26.613001	
HEX 88 : 40DAE979	41FB0000	41D3A1CB	
DEC 88 : 6.841000	31.375000	26.454000	
HEX 89 : 40D75C29	4203570A	41D18312	
DEC 89 : 6.730000	32.834999	26.188999	
HEX 90 : 40B5E354	4200872B	41EC6C8B	
DEC 90 : 5.684000	32.132000	29.552999	
HEX 91 : 40B353F8	420077CF	41E4A3D7	
DEC 91 : 5.604000	32.117001	28.580000	
HEX 92 : 409849BA	42014189	41EEA3D7	
DEC 92 : 4.759000	32.313999	29.830000	
HEX 93 : 3FEFDF3B	420A0C4A	41D474BC	
DEC 93 : 1.874000	34.512001	26.556999	
HEX 94 : 400EE979	420D8D50	41D6A9FC	
DEC 94 : 2.233000	35.388000	26.833000	
HEX 95 : 3F722D0E	420A978D	41D6DF3B	
DEC 95 : 0.946000	34.647999	26.858999	
HEX 96 : 40FE5604	42084083	41CCE76D	
DEC 96 : 7.948000	34.063000	25.613001	
HEX 97 : 40F6B021	420BCBC7	41CFC8B4	
DEC 97 : 7.709000	34.949001	25.973000	
HEX 98 : 4109D2F2	42072B02	41D23D71	
DEC 98 : 8.614000	33.792000	26.280001	
HEX 99 : 4095374C	420F2F1B	4203A2D1	
DEC 99 : 4.663000	35.796001	32.909000	
HEX 100 : 411947AE	42064FDF	41DEB439	
DEC 100 : 9.580000	33.577999	27.837999	
HEX 101 : 41100419	4205F6C9	41E50A3D	
DEC 101 : 9.001000	33.491001	28.629999	
HEX 102 : 412020C5	4209B127	41E03333	
DEC 102 : 10.008000	34.423000	28.025000	
HEX 103 : 4089999A	4207199A	41CB147B	
DEC 103 : 4.300000	33.775002	25.385000	
HEX 104 : 409A24DD	4204DB23	41CFF1AA	
DEC 104 : 4.817000	33.214001	25.993000	
HEX 105 : 405E978D	4207A6E9	41CF1EB8	
DEC 105 : 3.478000	33.912998	25.889999	
HEX 106 : 40D0ED91	41E7C083	420F5F3B	
DEC 106 : 6.529000	28.969000	35.842999	
HEX 107 : 40EAE148	41E3FBE7	420E2D0E	
DEC 107 : 7.340000	28.497999	35.543999	
HEX 108 : 40C8FDF4	41EB9FBE	420C1CAC	
DEC 108 : 6.281000	29.452999	35.028000	
HEX 109 : 3FD83127	41F81EB8	420621CB	
DEC 109 : 1.689000	31.014999	33.533001	
HEX 110 : 4023D70A	41FB8312	4205D810	
DEC 110 : 2.560000	31.438999	33.460999	
HEX 111 : 3FCC6A7F	41F4E76D	42029893	
DEC 111 : 1.597000	30.613001	32.648998	
HEX 112 : 40816873	4202B22D	42051168	
DEC 112 : 4.044000	32.674000	33.266998	
HEX 113 : 40974BC7	4205645A	4205E45A	
DEC 113 : 4.728000	33.348000	33.473000	
HEX 114 : 409178D5	41FEDB23	4205FEFA	
DEC 114 : 4.546000	31.857000	33.499001	
HEX 115 : 410E8312	41DDC6A8	420C7AE1	
DEC 115 : 8.907000	27.722000	35.119999	
HEX 116 : 41122D0E	41E01893	4208D70A	
DEC 116 : 9.136000	28.011999	34.209999	
HEX 117 : 411C147B	41DF0625	420E6979	
DEC 117 : 9.755000	27.878000	35.603001	
HEX 118 : 40B36C8B	41CC7EFA	420CC189	
DEC 118 : 5.607000	25.562000	35.188999	
HEX 119 : 40A0ED91	41C69375	420DDD2F	
DEC 119 : 5.029000	24.822001	35.466000	
