Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 145
HEX 63 : 4122DD2F	4194CAC1	41559168	
DEC 63 : 10.179000	18.599001	13.348000	
HEX 64 : 41136C8B	4193DD2F	4157C28F	
DEC 64 : 9.214000	18.483000	13.485000	
HEX 65 : 41243958	419C8106	4153999A	
DEC 65 : 10.264000	19.563000	13.225000	
HEX 66 : 40D0DD2F	414E51EC	41A01893	
DEC 66 : 6.527000	12.895000	20.011999	
HEX 67 : 40EF3B64	414B9168	419EB852	
DEC 67 : 7.476000	12.723000	19.840000	
HEX 68 : 40CA5604	4156BC6A	4199B439	
DEC 68 : 6.323000	13.421000	19.212999	
HEX 69 : 41236042	41889BA6	41B4C8B4	
DEC 69 : 10.211000	17.076000	22.598000	
HEX 70 : 411722D1	418D020C	41B7147B	
DEC 70 : 9.446000	17.625999	22.885000	
HEX 71 : 411EF9DB	4187A3D7	41AD45A2	
DEC 71 : 9.936000	16.955000	21.659000	
HEX 72 : 41237CEE	416A2D0E	41BEB439	
DEC 72 : 10.218000	14.636000	23.837999	
HEX 73 : 41221062	4161BA5E	41B81EB8	
DEC 73 : 10.129000	14.108000	23.014999	
HEX 74 : 412245A2	4178B021	41BBC28F	
DEC 74 : 10.142000	15.543000	23.469999	
HEX 75 : 40024DD3	417224DD	418F3958	
DEC 75 : 2.036000	15.134000	17.903000	
HEX 76 : 403851EC	4179A9FC	418E3127	
DEC 76 : 2.880000	15.604000	17.774000	
HEX 77 : 40028F5C	4167DF3B	418972B0	
DEC 77 : 2.040000	14.492000	17.181000	
HEX 78 : 408D2F1B	41858106	418C872B	
DEC 78 : 4.412000	16.688000	17.566000	
HEX 79 : 409F6C8B	418B3B64	418F5E35	
DEC 79 : 4.982000	17.403999	17.921000	
HEX 80 : 409F851F	417E6A7F	418DA7F0	
DEC 80 : 4.985000	15.901000	17.707001	
HEX 81 : 413E51EC	41825E35	41B30000	
DEC 81 : 11.895000	16.296000	22.375000	
HEX 82 : 41130E56	414A872B	4198BC6A	
DEC 82 : 9.191000	12.658000	19.091999	
HEX 83 : 41198937	4151BE77	41929581	
DEC 83 : 9.596000	13.109000	18.323000	
HEX 84 : 411C353F	414F4396	419EAC08	
DEC 84 : 9.763000	12.954000	19.834000	
HEX 85 : 4009DB23	41959FBE	41928D50	
DEC 85 : 2.154000	18.702999	18.319000	
HEX 86 : 4036D917	41903D71	419249BA	
DEC 86 : 2.857000	18.030001	18.285999	
HEX 87 : 4023851F	419B4DD3	418E2D0E	
DEC 87 : 2.555000	19.413000	17.771999	
HEX 88 : 41276873	41510E56	41AC8D50	
DEC 88 : 10.463000	13.066000	21.569000	
HEX 89 : 41233333	41420000	41ADBC6A	
DEC 89 : 10.200000	12.125000	21.716999	
HEX 90 : 4136872B	4150624E	41AE9375	
DEC 90 : 11.408000	13.024000	21.822001	
HEX 91 : 40800831	41866E98	41AC5A1D	
DEC 91 : 4.001000	16.804001	21.544001	
HEX 92 : 40429FBE	41878F5C	41AB26E9	
DEC 92 : 3.041000	16.945000	21.393999	
HEX 93 : 4081A9FC	417D6C8B	41AB0E56	
DEC 93 : 4.052000	15.839000	21.382000	
