Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 153
DEC 62 : 9.274000	23.424000	26.989000	
HEX 63 : 410BF3B6	41B4D2F2	41D74DD3	
DEC 63 : 8.747000	22.603001	26.913000	
HEX 64 : 41193F7D	41BB0831	41DF49BA	
DEC 64 : 9.578000	23.379000	27.910999	
HEX 65 : 40E88312	41AC999A	41FC4396	
DEC 65 : 7.266000	21.575001	31.533001	
HEX 66 : 4101EF9E	41B00419	41FAFDF4	
DEC 66 : 8.121000	22.002001	31.374001	
HEX 67 : 40F1374C	41A59581	41FF1893	
DEC 67 : 7.538000	20.698000	31.886999	
HEX 68 : 4124BC6A	41B66873	41ED1062	
DEC 68 : 10.296000	22.801001	29.632999	
HEX 69 : 412EF1AA	41B51EB8	41F2D4FE	
DEC 69 : 10.934000	22.639999	30.354000	
HEX 70 : 412B3B64	41B19BA6	41E7B646	
DEC 70 : 10.702000	22.201000	28.964001	
HEX 71 : 40D6D0E5	41A34DD3	41E8FDF4	
DEC 71 : 6.713000	20.413000	29.124001	
HEX 72 : 40DB4BC7	41A7374C	41EFB021	
DEC 72 : 6.853000	20.902000	29.961000	
HEX 73 : 40B7645A	41A41687	41E89375	
DEC 73 : 5.731000	20.511000	29.072001	
HEX 74 : 413B22D1	41B24BC7	42018831	
DEC 74 : 11.696000	22.287001	32.382999	
HEX 75 : 4103EF9E	41973D71	41C0999A	
DEC 75 : 8.246000	18.905001	24.075001	
HEX 76 : 4021BA5E	41AD8106	41D874BC	
DEC 76 : 2.527000	21.688000	27.056999	
HEX 77 : 3FE3D70A	41B29168	41D924DD	
DEC 77 : 1.780000	22.320999	27.143000	
HEX 78 : 4038A3D7	41AFC6A8	41D178D5	
DEC 78 : 2.885000	21.972000	26.184000	
HEX 79 : 3FBA7EFA	419976C9	41D545A2	
DEC 79 : 1.457000	19.183001	26.659000	
HEX 80 : 3FFD70A4	419FDD2F	41D7126F	
DEC 80 : 1.980000	19.983000	26.884001	
HEX 81 : 3F241893	419AF1AA	41D95810	
DEC 81 : 0.641000	19.368000	27.167999	
HEX 82 : 413FF3B6	41995E35	42000831	
DEC 82 : 11.997000	19.171000	32.007999	
HEX 83 : 413F4396	41A124DD	41FF47AE	
DEC 83 : 11.954000	20.143000	31.910000	
HEX 84 : 413824DD	41A9A5E3	41DE53F8	
DEC 84 : 11.509000	21.205999	27.791000	
HEX 85 : 4132D0E5	41AAF3B6	41D70419	
DEC 85 : 11.176000	21.368999	26.877001	
HEX 86 : 410FD70A	419A8B44	41CE24DD	
DEC 86 : 8.990000	19.318001	25.768000	
HEX 87 : 4105645A	419FA7F0	41D128F6	
DEC 87 : 8.337000	19.957001	26.145000	
HEX 88 : 411AE560	419FC8B4	41CC1062	
DEC 88 : 9.681000	19.973000	25.507999	
HEX 89 : 40851EB8	41A94FDF	41E9999A	
DEC 89 : 4.160000	21.164000	29.200001	
HEX 90 : 40654FDF	41AA6A7F	41E353F8	
DEC 90 : 3.583000	21.302000	28.416000	
HEX 91 : 406CFDF4	41AD8106	41EEEF9E	
DEC 91 : 3.703000	21.688000	29.867001	
HEX 92 : 40B6B852	41BB9BA6	41CF3958	
DEC 92 : 5.710000	23.451000	25.903000	
HEX 93 : 409BBE77	41B951EC	41CBE979	
DEC 93 : 4.867000	23.165001	25.489000	
HEX 94 : 4053851F	41B5CED9	41C51062	
DEC 94 : 3.305000	22.726000	24.632999	
HEX 95 : 4022B021	41BA0C4A	41C2A3D7	
DEC 95 : 2.542000	23.256001	24.330000	
HEX 96 : 40EFB646	41AADF3B	41D5A3D7	
DEC 96 : 7.491000	21.358999	26.705000	
HEX 97 : 40DAE148	41B04BC7	41D353F8	
DEC 97 : 6.840000	22.037001	26.416000	
HEX 98 : 40E3F7CF	41A8A9FC	41DC9FBE	
DEC 98 : 7.124000	21.083000	27.577999	
HEX 99 : 40648B44	41A78312	4205B74C	
DEC 99 : 3.571000	20.938999	33.429001	
HEX 100 : 40835C29	41ACE148	4203C189	
DEC 100 : 4.105000	21.610001	32.938999	
HEX 101 : 4089374C	41A26A7F	42069AA0	
DEC 101 : 4.288000	20.302000	33.651001	
HEX 102 : 412D26E9	4193F9DB	41DD851F	
DEC 102 : 10.822000	18.497000	27.690001	
HEX 103 : 41218106	41955C29	41D878D5	
DEC 103 : 10.094000	18.670000	27.059000	
HEX 104 : 4132353F	419B4FDF	41DEB22D	
DEC 104 : 11.138000	19.414000	27.837000	
HEX 105 : 412DBA5E	41A98106	41C96873	
DEC 105 : 10.858000	21.188000	25.176001	
HEX 106 : 412E4189	41AFAC08	41C48937	
DEC 106 : 10.891000	21.959000	24.566999	
HEX 107 : 41357CEE	41A43B64	41C4F9DB	
DEC 107 : 11.343000	20.528999	24.622000	
HEX 108 : 408F020C	41948106	41C13333	
DEC 108 : 4.469000	18.563000	24.150000	
HEX 109 : 40A9BA5E	418C74BC	41CA8D50	
DEC 109 : 5.304000	17.556999	25.319000	
HEX 110 : 40C753F8	4189B646	41CA6A7F	
DEC 110 : 6.229000	17.214001	25.302000	
HEX 111 : 40A3645A	418B9581	41D2147B	
DEC 111 : 5.106000	17.448000	26.260000	
HEX 112 : 40E0FDF4	416B1687	420D1581	
DEC 112 : 7.031000	14.693000	35.271000	
HEX 113 : 40F9B22D	41638D50	420B9CAC	
DEC 113 : 7.803000	14.222000	34.903000	
HEX 114 : 40D147AE	416E353F	4209CDD3	
DEC 114 : 6.540000	14.888000	34.451000	
HEX 115 : 41371EB8	417A1062	4208AE14	
DEC 115 : 11.445000	15.629000	34.169998	
HEX 116 : 413C8312	41758106	420C24DD	
DEC 116 : 11.782000	15.344000	35.035999	
HEX 117 : 3FCAE148	417AE148	4206D604	
DEC 117 : 1.585000	15.680000	33.709000	
HEX 118 : 401CED91	4180CCCD	420622D1	
DEC 118 : 2.452000	16.100000	33.534000	
HEX 119 : 3FC4BC6A	4170624E	4203FEFA	
DEC 119 : 1.537000	15.024000	32.999001	
HEX 120 : 407BE76D	4187B22D	4203D917	
DEC 120 : 3.936000	16.962000	32.962002	
HEX 121 : 408F6C8B	418DAE14	42053333	
DEC 121 : 4.482000	17.709999	33.299999	
HEX 122 : 4093CED9	41820625	4203CED9	
DEC 122 : 4.619000	16.253000	32.952000	
HEX 123 : 411326E9	4157A5E3	4207CFDF	
DEC 123 : 9.197000	13.478000	33.952999	
HEX 124 : 411D3B64	415B7CEE	4204F3B6	
DEC 124 : 9.827000	13.718000	33.237999	
HEX 125 : 411BE76D	415ACCCD	420AFBE7	
DEC 125 : 9.744000	13.675000	34.745998	
HEX 126 : 3FCB4396	4198F3B6	42077EFA	
DEC 126 : 1.588000	19.118999	33.874001	
HEX 127 : 40078D50	41929375	4206D604	
DEC 127 : 2.118000	18.322001	33.709000	
HEX 128 : 400E978D	419E9375	420673B6	
DEC 128 : 2.228000	19.822001	33.612999	
HEX 129 : 40825E35	414D645A	4207B958	
DEC 129 : 4.074000	12.837000	33.931000	
HEX 130 : 404D1EB8	4146F1AA	4206D810	
DEC 130 : 3.205000	12.434000	33.710999	
HEX 131 : 4092D917	4140A3D7	4208A6E9	
DEC 131 : 4.589000	12.040000	34.162998	
HEX 132 : 410B1687	4190E979	420CAF1B	
DEC 132 : 8.693000	18.114000	35.171001	
HEX 133 : 410BB646	418B8B44	4209CDD3	
DEC 133 : 8.732000	17.443001	34.451000	
HEX 134 : 40F91EB8	418FA9FC	420E1375	
DEC 134 : 7.785000	17.958000	35.519001	
HEX 135 : 40710625	41608F5C	420DCED9	
DEC 135 : 3.766000	14.035000	35.452000	
HEX 136 : 410D0E56	41B29DB2	420D8E56	
DEC 136 : 8.816000	22.327000	35.389000	
HEX 137 : 410AD0E5	41BA6E98	420D9375	
DEC 137 : 8.676000	23.304001	35.394001	
HEX 138 : 40FBEF9E	41B04FDF	420DF1AA	
DEC 138 : 7.873000	22.039000	35.486000	
HEX 139 : 40B1A9FC	4198374C	42074ED9	
DEC 139 : 5.552000	19.027000	33.827000	
HEX 140 : 40BAC083	419653F8	420AF6C9	
DEC 140 : 5.836000	18.791000	34.741001	
HEX 141 : 40CD5810	419870A4	420577CF	
DEC 141 : 6.417000	19.055000	33.367001	
HEX 142 : 41286E98	41A0B021	420DE560	
DEC 142 : 10.527000	20.086000	35.473999	
HEX 143 : 411D70A4	419B4FDF	420D051F	
DEC 143 : 9.840000	19.414000	35.255001	
HEX 144 : 411FEB85	41A74189	420DAD0E	
DEC 144 : 9.995000	20.907000	35.418999	
HEX 145 : 4010B439	41BA45A2	420849BA	
DEC 145 : 2.261000	23.284000	34.071999	
HEX 146 : 402BA5E3	41B35E35	42076F9E	
DEC 146 : 2.682000	22.421000	33.859001	
HEX 147 : 40353F7D	41BC72B0	420B49BA	
DEC 147 : 2.832000	23.556000	34.821999	
HEX 148 : 40A020C5	41B75C29	420123D7	
DEC 148 : 5.004000	22.920000	32.285000	
HEX 149 : 40B9D2F2	41B36666	4200072B	
DEC 149 : 5.807000	22.424999	32.007000	
HEX 150 : 40AB3B64	41BEA7F0	4200C28F	
DEC 150 : 5.351000	23.832001	32.189999	
HEX 151 : 4131645A	41B7AE14	42073B64	
DEC 151 : 11.087000	22.959999	33.807999	
HEX 152 : 4123126F	41B5F1AA	42088C4A	
DEC 152 : 10.192000	22.743000	34.137001	
HEX 153 : 41395810	41B6CED9	420A9AA0	
DEC 153 : 11.584000	22.851000	34.651001	
154 : 0.000000	0.000000	0.000000	
155 : 0.000000	0.000000	0.000000	
156 : 0.000000	0.000000	0.000000	
157 : 0.000000	0.000000	0.000000	
158 : 0.000000	0.000000	0.000000	
159 : 0.000000	0.000000	0.000000	
160 : 0.000000	0.000000	0.000000	
161 : 0.000000	0.000000	0.000000	
162 : 0.000000	0.000000	0.000000	
163 : 0.000000	0.000000	0.000000	
164 : 0.000000	0.000000	0.000000	
165 : 0.000000	0.000000	0.000000	
166 : 0.000000	0.000000	0.000000	
167 : 0.000000	0.000000	0.000000	
168 : 0.000000	0.000000	0.000000	
169 : 0.000000	0.000000	0.000000	
170 : 0.000000	0.000000	0.000000	
171 : 0.000000	0.000000	0.000000	
172 : 0.000000	0.000000	0.000000	
173 : 0.000000	0.000000	0.000000	
174 : 0.000000	0.000000	0.000000	
175 : 0.000000	0.000000	0.000000	
176 : 0.000000	0.000000	0.000000	
177 : 0.000000	0.000000	0.000000	
178 : 0.000000	0.000000	0.000000	
179 : 0.000000	0.000000	0.000000	
180 : 0.000000	0.000000	0.000000	
181 : 0.000000	0.000000	0.000000	
182 : 0.000000	0.000000	0.000000	
183 : 0.000000	0.000000	0.000000	
184 : 0.000000	0.000000	0.000000	
185 : 0.000000	0.000000	0.000000	
186 : 0.000000	0.000000	0.000000	
187 : 0.000000	0.000000	0.000000	
188 : 0.000000	0.000000	0.000000	
189 : 0.000000	0.000000	0.000000	
190 : 0.000000	0.000000	0.000000	
191 : 0.000000	0.000000	0.000000	
192 : 0.000000	0.000000	0.000000	
193 : 0.000000	0.000000	0.000000	
194 : 0.000000	0.000000	0.000000	
195 : 0.000000	0.000000	0.000000	
196 : 0.000000	0.000000	0.000000	
197 : 0.000000	0.000000	0.000000	
198 : 0.000000	0.000000	0.000000	
199 : 0.000000	0.000000	0.000000	
200 : 0.000000	0.000000	0.000000	
201 : 0.000000	0.000000	0.000000	
202 : 0.000000	0.000000	0.000000	
203 : 0.000000	0.000000	0.000000	
204 : 0.000000	0.000000	0.000000	
205 : 0.000000	0.000000	0.000000	
206 : 0.000000	0.000000	0.000000	
207 : 0.000000	0.000000	0.000000	
208 : 0.000000	0.000000	0.000000	
209 : 0.000000	0.000000	0.000000	
210 : 0.000000	0.000000	0.000000	
211 : 0.000000	0.000000	0.000000	
212 : 0.000000	0.000000	0.000000	
213 : 0.000000	0.000000	0.000000	
214 : 0.000000	0.000000	0.000000	
215 : 0.000000	0.000000	0.000000	
216 : 0.000000	0.000000	0.000000	
217 : 0.000000	0.000000	0.000000	
218 : 0.000000	0.000000	0.000000	
219 : 0.000000	0.000000	0.000000	
220 : 0.000000	0.000000	0.000000	
221 : 0.000000	0.000000	0.000000	
222 : 0.000000	0.000000	0.000000	
223 : 0.000000	0.000000	0.000000	
224 : 0.000000	0.000000	0.000000	
225 : 0.000000	0.000000	0.000000	
226 : 0.000000	0.000000	0.000000	
227 : 0.000000	0.000000	0.000000	
228 : 0.000000	0.000000	0.000000	
229 : 0.000000	0.000000	0.000000	
230 : 0.000000	0.000000	0.000000	
231 : 0.000000	0.000000	0.000000	
232 : 0.000000	0.000000	0.000000	
233 : 0.000000	0.000000	0.000000	
234 : 0.000000	0.000000	0.000000	
235 : 0.000000	0.000000	0.000000	
236 : 0.000000	0.000000	0.000000	
237 : 0.000000	0.000000	0.000000	
238 : 0.000000	0.000000	0.000000	
239 : 0.000000	0.000000	0.000000	
240 : 0.000000	0.000000	0.000000	
241 : 0.000000	0.000000	0.000000	
242 : 0.000000	0.000000	0.000000	
243 : 0.000000	0.000000	0.000000	
244 : 0.000000	0.000000	0.000000	
245 : 0.000000	0.000000	0.000000	
246 : 0.000000	0.000000	0.000000	
247 : 0.000000	0.000000	0.000000	
248 : 0.000000	0.000000	0.000000	
249 : 0.000000	0.000000	0.000000	
250 : 0.000000	0.000000	0.000000	
251 : 0.000000	0.000000	0.000000	
252 : 0.000000	0.000000	0.000000	
253 : 0.000000	0.000000	0.000000	
254 : 0.000000	0.000000	0.000000	
255 : 0.000000	0.000000	0.000000	
256 : 0.000000	0.000000	0.000000	
257 : 0.000000	0.000000	0.000000	
258 : 0.000000	0.000000	0.000000	
259 : 0.000000	0.000000	0.000000	
260 : 0.000000	0.000000	0.000000	
261 : 0.000000	0.000000	0.000000	
262 : 0.000000	0.000000	0.000000	
263 : 0.000000	0.000000	0.000000	
264 : 0.000000	0.000000	0.000000	
265 : 0.000000	0.000000	0.000000	
266 : 0.000000	0.000000	0.000000	
267 : 0.000000	0.000000	0.000000	
268 : 0.000000	0.000000	0.000000	
269 : 0.000000	0.000000	0.000000	
270 : 0.000000	0.000000	0.000000	
271 : 0.000000	0.000000	0.000000	
272 : 0.000000	0.000000	0.000000	
273 : 0.000000	0.000000	0.000000	
274 : 0.000000	0.000000	0.000000	
275 : 0.000000	0.000000	0.000000	
276 : 0.000000	0.000000	0.000000	
277 : 0.000000	0.000000	0.000000	
278 : 0.000000	0.000000	0.000000	
279 : 0.000000	0.000000	0.000000	
280 : 0.000000	0.000000	0.000000	
281 : 0.000000	0.000000	0.000000	
282 : 0.000000	0.000000	0.000000	
283 : 0.000000	0.000000	0.000000	
284 : 0.000000	0.000000	0.000000	
285 : 0.000000	0.000000	0.000000	
286 : 0.000000	0.000000	0.000000	
287 : 0.000000	0.000000	0.000000	
288 : 0.000000	0.000000	0.000000	
289 : 0.000000	0.000000	0.000000	
