Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 156
HEX 63 : 418F9375	420D3A5E	4102E148	
DEC 63 : 17.947001	35.306999	8.180000	
HEX 64 : 418A3F7D	420DC6A8	41185A1D	
DEC 64 : 17.281000	35.444000	9.522000	
HEX 65 : 4159E76D	420D4ED9	40B2B852	
DEC 65 : 13.619000	35.327000	5.585000	
HEX 66 : 41678937	4204CCCD	40127EFA	
DEC 66 : 14.471000	33.200001	2.289000	
HEX 67 : 41615C29	420523D7	404C49BA	
DEC 67 : 14.085000	33.285000	3.192000	
HEX 68 : 417553F8	42068B44	401D8106	
DEC 68 : 15.333000	33.636002	2.461000	
HEX 69 : 41A90831	41E378D5	4073F7CF	
DEC 69 : 21.129000	28.434000	3.812000	
HEX 70 : 41B08F5C	41E13B64	4075C28F	
DEC 70 : 22.070000	28.153999	3.840000	
HEX 71 : 41A95810	41E8D70A	4046147B	
DEC 71 : 21.167999	29.105000	3.095000	
HEX 72 : 41A61893	41D69FBE	40DA45A2	
DEC 72 : 20.761999	26.827999	6.821000	
HEX 73 : 41A78937	41DE3D71	40DE6666	
DEC 73 : 20.941999	27.780001	6.950000	
HEX 74 : 41ABEB85	41D3624E	40EAD0E5	
DEC 74 : 21.490000	26.423000	7.338000	
HEX 75 : 41BDDD2F	41CDDD2F	40DE1CAC	
DEC 75 : 23.733000	25.733000	6.941000	
HEX 76 : 41BC5604	41ED4FDF	4125A5E3	
DEC 76 : 23.542000	29.664000	10.353000	
HEX 77 : 41B7A7F0	41E70A3D	41250A3D	
DEC 77 : 22.957001	28.879999	10.315000	
HEX 78 : 41BEB22D	41EDDD2F	4116AC08	
DEC 78 : 23.837000	29.733000	9.417000	
HEX 79 : 41ACF1AA	41DDDF3B	412051EC	
DEC 79 : 21.618000	27.733999	10.020000	
HEX 80 : 41AFBC6A	41D876C9	41168312	
DEC 80 : 21.966999	27.058001	9.407000	
HEX 81 : 41AA624E	41E34396	41160419	
DEC 81 : 21.298000	28.408001	9.376000	
HEX 82 : 418C76C9	41E0A7F0	4123D70A	
DEC 82 : 17.558001	28.082001	10.240000	
HEX 83 : 41907EFA	41DB624E	411B6C8B	
DEC 83 : 18.062000	27.423000	9.714000	
HEX 84 : 41924189	41E53B64	4129645A	
DEC 84 : 18.282000	28.653999	10.587000	
HEX 85 : 4188E560	41F69FBE	40334396	
DEC 85 : 17.112000	30.827999	2.801000	
HEX 86 : 419020C5	41F99DB2	4036B852	
DEC 86 : 18.016001	31.202000	2.855000	
HEX 87 : 4189A3D7	41F2374C	3FFF9DB2	
DEC 87 : 17.205000	30.277000	1.997000	
HEX 88 : 419C1062	42006148	40216873	
DEC 88 : 19.507999	32.095001	2.522000	
HEX 89 : 41A124DD	42032E14	4032F1AA	
DEC 89 : 20.143000	32.794998	2.796000	
HEX 90 : 41A1126F	41FAF3B6	4012B021	
DEC 90 : 20.134001	31.368999	2.292000	
HEX 91 : 41BEDD2F	41DF53F8	4062D0E5	
DEC 91 : 23.858000	27.916000	3.544000	
HEX 92 : 41925A1D	41C33B64	40A65E35	
DEC 92 : 18.294001	24.403999	5.199000	
HEX 93 : 41ABCED9	41C87EFA	40996042	
DEC 93 : 21.476000	25.062000	4.793000	
HEX 94 : 41A4ED91	41C57CEE	40900831	
DEC 94 : 20.615999	24.686001	4.501000	
HEX 95 : 41A91893	41CE47AE	40AB9DB2	
DEC 95 : 21.136999	25.785000	5.363000	
HEX 96 : 41A4DD2F	41C38F5C	41293333	
DEC 96 : 20.608000	24.445000	10.575000	
HEX 97 : 4187CCCD	4208B53F	403F1AA0	
DEC 97 : 16.975000	34.176998	2.986000	
HEX 98 : 418ADD2F	420522D1	404147AE	
DEC 98 : 17.358000	33.284000	3.020000	
HEX 99 : 418D0A3D	420A7EFA	4019CAC1	
DEC 99 : 17.629999	34.624001	2.403000	
HEX 100 : 41985604	41D13127	410F78D5	
DEC 100 : 19.042000	26.149000	8.967000	
HEX 101 : 419B999A	41D349BA	4101D70A	
DEC 101 : 19.450001	26.410999	8.115000	
HEX 102 : 4196A5E3	41C9AE14	410C3958	
DEC 102 : 18.830999	25.209999	8.764000	
HEX 103 : 41B49DB2	41CD20C5	410722D1	
DEC 103 : 22.577000	25.641001	8.446000	
HEX 104 : 41B0F5C3	41C71687	410E1062	
DEC 104 : 22.120001	24.886000	8.879000	
HEX 105 : 41BBCAC1	41CC2B02	410D9581	
DEC 105 : 23.474001	25.521000	8.849000	
HEX 106 : 41BFD917	41D0F1AA	4062F1AA	
DEC 106 : 23.981001	26.118000	3.546000	
HEX 107 : 41B922D1	41C78312	407D3F7D	
DEC 107 : 23.142000	24.938999	3.957000	
HEX 108 : 419A6042	4200B53F	40C7851F	
DEC 108 : 19.297001	32.176998	6.235000	
HEX 109 : 4192A5E3	42013127	40C3645A	
DEC 109 : 18.330999	32.298000	6.106000	
HEX 110 : 419AD70A	41F9BC6A	40C0E560	
DEC 110 : 19.355000	31.216999	6.028000	
HEX 111 : 418D53F8	41DC6E98	40A2E979	
DEC 111 : 17.666000	27.554001	5.091000	
HEX 112 : 418C5A1D	41DAB021	40847AE1	
DEC 112 : 17.544001	27.336000	4.140000	
HEX 113 : 418C49BA	41D54FDF	40AFA5E3	
DEC 113 : 17.535999	26.664000	5.489000	
HEX 114 : 419AC28F	41EE74BC	41359DB2	
DEC 114 : 19.344999	29.806999	11.351000	
HEX 115 : 41963B64	41F4C28F	4137DF3B	
DEC 115 : 18.778999	30.594999	11.492000	
HEX 116 : 41A1E354	41F1D2F2	4136F1AA	
DEC 116 : 20.236000	30.228001	11.434000	
HEX 117 : 41A10419	41D01CAC	41386A7F	
DEC 117 : 20.127001	26.014000	11.526000	
HEX 118 : 419BC28F	41D0E148	412CE148	
DEC 118 : 19.469999	26.110001	10.805000	
HEX 119 : 41A65604	41D545A2	4132FDF4	
DEC 119 : 20.792000	26.659000	11.187000	
HEX 120 : 419E51EC	41DA126F	3FBA5E35	
DEC 120 : 19.790001	27.259001	1.456000	
HEX 121 : 41970625	41D92B02	3FE7EF9E	
DEC 121 : 18.878000	27.146000	1.812000	
HEX 122 : 41A20E56	41DB8106	4012C083	
DEC 122 : 20.257000	27.438000	2.293000	
HEX 123 : 418DEB85	42000000	413C72B0	
DEC 123 : 17.740000	32.000000	11.778000	
HEX 124 : 41A97EFA	41EB6873	40FC624E	
DEC 124 : 21.187000	29.426001	7.887000	
HEX 125 : 41A33D71	41EC9DB2	40E9FBE7	
DEC 125 : 20.405001	29.577000	7.312000	
HEX 126 : 41AE0C4A	41F12B02	40F16042	
DEC 126 : 21.756001	30.146000	7.543000	
HEX 127 : 41BB7AE1	41FF8B44	40986A7F	
DEC 127 : 23.434999	31.943001	4.763000	
HEX 128 : 41AD72B0	41F88937	413C8B44	
DEC 128 : 21.681000	31.066999	11.784000	
HEX 129 : 41B35E35	41F4872B	4135F7CF	
DEC 129 : 22.421000	30.566000	11.373000	
HEX 130 : 41AFFBE7	41FFDD2F	413A1062	
DEC 130 : 21.997999	31.983000	11.629000	
HEX 131 : 41B08F5C	41FE1687	40CD6873	
DEC 131 : 22.070000	31.761000	6.419000	
HEX 132 : 41A924DD	420027F0	40C91687	
DEC 132 : 21.143000	32.039001	6.284000	
HEX 133 : 41B38F5C	42023127	40DBE76D	
DEC 133 : 22.445000	32.548000	6.872000	
HEX 134 : 419BDD2F	41EBCAC1	40B91687	
DEC 134 : 19.483000	29.474001	5.784000	
HEX 135 : 41960831	41E6A9FC	40B3B646	
DEC 135 : 18.754000	28.833000	5.616000	
HEX 136 : 41A0D70A	41E91EB8	40A31AA0	
DEC 136 : 20.105000	29.139999	5.097000	
HEX 137 : 4199CCCD	420FF3B6	40D0CCCD	
