Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 141
DEC 61 : 24.084000	25.184000	3.829000	
HEX 62 : 41CC74BC	41C12B02	406072B0	
DEC 62 : 25.556999	24.146000	3.507000	
HEX 63 : 41F6D4FE	41E6F5C3	40DB7CEE	
DEC 63 : 30.854000	28.870001	6.859000	
HEX 64 : 41F66873	41ECF7CF	40C72B02	
DEC 64 : 30.801001	29.621000	6.224000	
HEX 65 : 41FE1062	41E44FDF	40D526E9	
DEC 65 : 31.757999	28.539000	6.661000	
HEX 66 : 41E33B64	4203E873	411C3958	
DEC 66 : 28.403999	32.977001	9.764000	
HEX 67 : 41EAB439	4202F9DB	411F0E56	
DEC 67 : 29.337999	32.743999	9.941000	
HEX 68 : 41E0020C	4203353F	412A5E35	
DEC 68 : 28.000999	32.801998	10.648000	
HEX 69 : 41E61CAC	41EDAE14	4135E354	
DEC 69 : 28.764000	29.709999	11.368000	
HEX 70 : 41EAC8B4	41EC4FDF	41299168	
DEC 70 : 29.348000	29.539000	10.598000	
HEX 71 : 41DF126F	41ECF1AA	412F4FDF	
DEC 71 : 27.884001	29.618000	10.957000	
HEX 72 : 41F3624E	41F8374C	40A8AC08	
DEC 72 : 30.423000	31.027000	5.271000	
HEX 73 : 41F5B021	41FD353F	40BF74BC	
DEC 73 : 30.711000	31.650999	5.983000	
HEX 74 : 41F9A1CB	41F8B021	409570A4	
DEC 74 : 31.204000	31.086000	4.670000	
HEX 75 : 41C1BA5E	4201F0A4	409170A4	
DEC 75 : 24.216000	32.485001	4.545000	
HEX 76 : 41C59168	41FF7CEE	4078A3D7	
DEC 76 : 24.695999	31.936001	3.885000	
HEX 77 : 41FB8F5C	42022B02	40E851EC	
DEC 77 : 31.445000	32.542000	7.260000	
HEX 78 : 41FFDD2F	420546A8	40E0B439	
DEC 78 : 31.983000	33.319000	7.022000	
HEX 79 : 41FB147B	4202820C	4103A1CB	
DEC 79 : 31.385000	32.626999	8.227000	
HEX 80 : 41F7F5C3	4201020C	4120CCCD	
DEC 80 : 30.995001	32.251999	10.050000	
HEX 81 : 41F78312	41FA8937	411BCAC1	
DEC 81 : 30.938999	31.316999	9.737000	
HEX 82 : 41F89DB2	420048B4	41303127	
DEC 82 : 31.077000	32.070999	11.012000	
HEX 83 : 41D7B22D	420C2E14	410BF3B6	
DEC 83 : 26.962000	35.044998	8.747000	
HEX 84 : 41DC1EB8	4209C8B4	4114C8B4	
DEC 84 : 27.514999	34.445999	9.299000	
HEX 85 : 41D9D4FE	420ACAC1	40FC0000	
DEC 85 : 27.229000	34.698002	7.875000	
HEX 86 : 42044189	420A0B44	40C41062	
DEC 86 : 33.063999	34.511002	6.127000	
HEX 87 : 420350E5	42096F9E	40A5BA5E	
DEC 87 : 32.828999	34.359001	5.179000	
HEX 88 : 420247AE	420D51EC	40CA24DD	
DEC 88 : 32.570000	35.330002	6.317000	
HEX 89 : 41E2F5C3	42078E56	408E2D0E	
DEC 89 : 28.370001	33.889000	4.443000	
HEX 90 : 41DBBC6A	42090D50	408F126F	
DEC 90 : 27.466999	34.263000	4.471000	
HEX 91 : 41E37EFA	42061893	40AB53F8	
DEC 91 : 28.437000	33.523998	5.354000	
HEX 92 : 41CDBE77	420B1DB2	4087E76D	
DEC 92 : 25.718000	34.778999	4.247000	
HEX 93 : 41C8BA5E	42081DB2	408B8D50	
DEC 93 : 25.091000	34.028999	4.361000	
HEX 94 : 41C8BA5E	420E1DB2	40886A7F	
DEC 94 : 25.091000	35.528999	4.263000	
HEX 95 : 41FFAE14	420B6354	4116C083	
DEC 95 : 31.959999	34.847000	9.422000	
HEX 96 : 4203676D	420A3958	411B9168	
DEC 96 : 32.851002	34.556000	9.723000	
HEX 97 : 41FB8106	42085E35	411BFBE7	
DEC 97 : 31.438000	34.091999	9.749000	
HEX 98 : 41C40000	420B820C	411F4396	
DEC 98 : 24.500000	34.876999	9.954000	
HEX 99 : 41C4E979	420ECED9	41279581	
DEC 99 : 24.614000	35.702000	10.474000	
HEX 100 : 41CB374C	420B53F8	41190625	
DEC 100 : 25.402000	34.832001	9.564000	
HEX 101 : 41F09168	4203978D	4024ED91	
DEC 101 : 30.070999	32.897999	2.577000	
HEX 102 : 41EAC49C	4205020C	404978D5	
DEC 102 : 29.346001	33.251999	3.148000	
HEX 103 : 41F6872B	42049EB8	4049DB23	
DEC 103 : 30.816000	33.154999	3.154000	
HEX 104 : 420345A2	41DE74BC	411F4FDF	
DEC 104 : 32.818001	27.806999	9.957000	
HEX 105 : 4204F6C9	41D924DD	4115E354	
DEC 105 : 33.241001	27.143000	9.368000	
HEX 106 : 42068625	41E1FBE7	41249375	
DEC 106 : 33.631001	28.247999	10.286000	
HEX 107 : 4202BC6A	41F68B44	407322D1	
DEC 107 : 32.683998	30.818001	3.799000	
HEX 108 : 42061687	41FA45A2	40665604	
DEC 108 : 33.521999	31.284000	3.599000	
HEX 109 : 42038937	41EF6042	405FBE77	
DEC 109 : 32.883999	29.922001	3.496000	
HEX 110 : 420CBE77	41FE8F5C	403EB852	
DEC 110 : 35.186001	31.820000	2.980000	
HEX 111 : 420F0F5C	42026979	40453F7D	
DEC 111 : 35.764999	32.603001	3.082000	
HEX 112 : 420F78D5	41F8E76D	403DE354	
DEC 112 : 35.868000	31.113001	2.967000	
HEX 113 : 42099DB2	41C1AE14	40A71AA0	
DEC 113 : 34.403999	24.209999	5.222000	
HEX 114 : 4201DC29	4208D4FE	405CAC08	
DEC 114 : 32.465000	34.208000	3.448000	
HEX 115 : 42034CCD	4206ED91	402B74BC	
DEC 115 : 32.825001	33.731998	2.679000	
HEX 116 : 420175C3	420C6C8B	4043F7CF	
DEC 116 : 32.365002	35.105999	3.062000	
HEX 117 : 420A5604	41D13333	410A0000	
DEC 117 : 34.584000	26.150000	8.625000	
HEX 118 : 420C8C4A	41D2F9DB	40FB1AA0	
DEC 118 : 35.137001	26.372000	7.847000	
HEX 119 : 420A072B	41C970A4	4107D2F2	
DEC 119 : 34.507000	25.180000	8.489000	
HEX 120 : 420AC9BA	42023333	40F12F1B	
DEC 120 : 34.696999	32.549999	7.537000	
HEX 121 : 42085F3B	42043127	40DE76C9	
DEC 121 : 34.092999	33.048000	6.952000	
HEX 122 : 420A9168	41FD24DD	40E4FDF4	
DEC 122 : 34.641998	31.643000	7.156000	
HEX 123 : 42056042	41E01AA0	40C15810	
DEC 123 : 33.344002	28.013000	6.042000	
HEX 124 : 42049168	41DF6C8B	40A2B852	
DEC 124 : 33.141998	27.927999	5.085000	
HEX 125 : 4205DE35	41D88B44	40C8B439	
DEC 125 : 33.466999	27.068001	6.272000	
HEX 126 : 420C6979	41E81CAC	412D645A	
DEC 126 : 35.103001	29.014000	10.837000	
HEX 127 : 420A6979	41EE9168	41318937	
DEC 127 : 34.603001	29.820999	11.096000	
HEX 128 : 420F25E3	41EB3D71	41240831	
DEC 128 : 35.786999	29.405001	10.252000	
HEX 129 : 420C3E77	41CC851F	4136A3D7	
DEC 129 : 35.061001	25.565001	11.415000	
HEX 130 : 420B3C6A	41D0353F	41297CEE	
DEC 130 : 34.808998	26.025999	10.593000	
HEX 131 : 420BC189	41E0F7CF	400624DD	
DEC 131 : 34.938999	28.121000	2.096000	
HEX 132 : 4208D2F2	41DE4BC7	4029BA5E	
DEC 132 : 34.206001	27.787001	2.652000	
HEX 133 : 420A676D	41DF7CEE	3F9B020C	
DEC 133 : 34.601002	27.936001	1.211000	
HEX 134 : 420648B4	41F8C6A8	413B999A	
DEC 134 : 33.570999	31.097000	11.725000	
HEX 135 : 420CC189	41EFBC6A	40D7126F	
DEC 135 : 35.188999	29.966999	6.721000	
HEX 136 : 4209F1AA	41EA76C9	40D0A3D7	
DEC 136 : 34.486000	29.308001	6.520000	
HEX 137 : 420FAF1B	41ECFDF4	40C54FDF	
DEC 137 : 35.921001	29.624001	6.166000	
HEX 138 : 420B3127	420D5917	40BEF1AA	
DEC 138 : 34.798000	35.337002	5.967000	
HEX 139 : 4208BF7D	420578D5	41224189	
DEC 139 : 34.187000	33.368000	10.141000	
HEX 140 : 42080B44	42020A3D	41290E56	
DEC 140 : 34.011002	32.509998	10.566000	
HEX 141 : 4209F9DB	42045A1D	41141062	
